name,place_id,lat,lon
Mont Saint Michel,283872868,48.6359541,-1.51146
Saint Malo,286795568,48.649518,-2.0260409
Bayeux,280655053,49.2764624,-0.7024738
Le Havre,99608512,49.4938975,0.1079732
Rouen,99431330,49.4404591,1.0939658
Paris,97644102,48.8588897,2.320041
Amiens,99515658,49.8941708,2.2956951
Lille,102005298,50.6365654,3.0635282
Strasbourg,120717819,48.584614,7.7507127
Orschwiller,121122082,48.2422436,7.3799809
Colmar,119771663,48.0777517,7.3579641
Eguisheim,121083240,48.0447968,7.3079618
Besancon,92178632,47.2380222,6.0243622
Dijon,93940430,47.3215806,5.0414701
Annecy,89628032,45.8992348,6.1288847
Grenoble,89646215,45.1875602,5.7357819
Lyon,90002899,45.7578137,4.8320114
Barjols,82703383,43.558133,6.0056803
Castellane,83230701,43.846459,6.5134463
Cotignac,82972055,43.5280531,6.1502672
Moustiers Sainte Marie,82649540,43.8460089,6.2217604
Sainte Croix du Verdon,82224851,43.7589451,6.1518294
Sillans la Cascade,82481589,43.5673969,6.1795387
Valensole,82788602,43.8379283,5.9839867
Bormes les Mimosas,82947484,43.1506968,6.3419285
Cassis,83452381,43.2140359,5.5396318
Marseille,82966111,43.2963986,5.3777888
Aix en Provence,82779545,43.5298424,5.4474738
Avignon,82703601,43.9492493,4.8059012
Uzes,87748424,44.0121279,4.4196718
Nimes,83331461,43.8374249,4.3600687
Aigues Mortes,83174366,43.5661521,4.19154
Saintes Maries de la Mer,82819543,43.4515922,4.4277202
Collioure,84280626,42.52505,3.0831554
Carcassonne,84831324,43.2130358,2.3491069
Bedeilhac et Aynat,84249524,42.8816132,1.5674969
Camon,98033370,49.8874246,2.3446546
Le Carla Bayle,85080454,43.1500386,1.3936011
Foix,84674104,42.9638998,1.6053807
Le Mas d'Azil,85533908,43.0794579,1.3613197
Mirepoix,86315261,43.7458333,0.6719444
Montsegur,84456604,42.8707548,1.8337452
Niaux,84333342,42.8093089,1.5911122
Saint Lizier,84668110,43.0025191,1.1354926
Saint Martin d'Oydes,85322018,43.169734,1.4955303
Tarascon sur Ariege,84244812,42.8492109,1.6043495
Toulouse,85268269,43.6044638,1.4442433
Montauban,86278335,44.0175835,1.3549991
Biarritz,287222151,43.4832523,-1.5592776
Bayonne,291698146,43.4945144,-1.4736657
La Rochelle,289326024,46.159732,-1.1515951
