name,place_id,lat,lon
Mont Saint-Michel,285079900,48.6359541,-1.51146
Saint-Malo,284423924,48.649518,-2.0260409
Bayeux,284771403,49.2764624,-0.7024738
Le Havre,100021883,49.4938975,0.1079732
Rouen,99438300,49.4404591,1.0939658
Paris,97644102,48.8588897,2.320041
Amiens,99515658,49.8941708,2.2956951
Lille,102005298,50.6365654,3.0635282
Strasbourg,120975157,48.584614,7.7507127
Orschwiller,121168612,48.2422436,7.3799809
Colmar,119771663,48.0777517,7.3579641
Eguisheim,121171088,48.0447968,7.3079618
Besançon,92178036,47.2380222,6.0243622
Dijon,93940430,47.3215806,5.0414701
Annecy,88762115,45.8992348,6.1288847
Grenoble,89646215,45.1875602,5.7357819
Lyon,90002899,45.7578137,4.8320114
Barjols,82631582,43.558133,6.0056803
Castellane,82472929,43.846459,6.5134463
Cotignac,89393394,43.5280531,6.1502672
Moustiers-Sainte-Marie,82673740,43.8460089,6.2217604
Sainte-Croix-du-Verdon,82627877,43.7589451,6.1518294
Sillans-la-Cascade,82481589,43.5673969,6.1795387
Valensole,82788602,43.8379283,5.9839867
Bormes-les-Mimosas,82541806,43.1506968,6.3419285
Cassis,82608695,43.2140359,5.5396318
Marseille,83042786,43.2963986,5.3777888
Aix-en-Provence,82779545,43.5298424,5.4474738
Avignon,82703601,43.9492493,4.8059012
Uzès,87817750,44.0121279,4.4196718
Nîmes,82204290,43.8374249,4.3600687
Aigues-Mortes,83174366,43.5661521,4.19154
Saintes-Maries-de-la-Mer,82819543,43.4515922,4.4277202
Collioure,84564617,42.52505,3.0831554
Carcassonne,85200361,43.2130358,2.3491069
Bédeilhac-et-Aynat,84249524,42.8816132,1.5674969
Camon,99997574,49.8874246,2.3446546
Le Carla-Bayle,86409456,43.1500386,1.3936011
Foix,83990922,42.9638998,1.6053807
Le Mas-d'Azil,85690532,43.0794579,1.3613197
Mirepoix,85799365,43.7458333,0.6719444
Montségur,84075192,42.8707548,1.8337452
Niaux,83960677,42.8093089,1.5911122
Saint-Lizier,84167605,43.0025191,1.1354926
Saint-Martin-d'Oydes,86082740,43.169734,1.4955303
Tarascon-sur-Ariège,83973337,42.8492109,1.6043495
Toulouse,85268269,43.6044638,1.4442433
Montauban,85485907,44.0175835,1.3549991
Biarritz,290313639,43.4711437,-1.5527275
Bayonne,292222290,43.4945144,-1.4736657
La Rochelle,290369823,46.159732,-1.1515951
