city,lat,lon,visibility,dt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,rain.1h,weather.0.id,weather.0.main,weather.0.description,weather.0.icon,hotel_city,hotel_name,price,latitude,longitude,rate,rate_label,experience
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Beauvoir,La Villa du Manoir,€ 521,48.596052,-1.500324,"9,8",Exceptionnel,6
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Huisnes-sur-Mer,Escale du Mont,€ 364,48.6214736,-1.4471578,"7,5",Bien,2
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Huisnes-sur-Mer,Horizon du Mont 15 personnes,€ 1 140,48.6195141,-1.4591118,"9,7",Exceptionnel,10
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Beauvoir,Ermitage,€ 1 954,48.59449,-1.5114290000000001,"8,7",Superbe,152
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Beauvoir,Le Petit Gîte du Mont,€ 440,48.597734,-1.5117729999999998,"8,9",Superbe,55
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Saint-Georges-de-Gréhaigne,Ibis Budget Pontorson Baie Du Mont Saint Michel,€ 237,48.56826,-1.54271,"8,3",Très bien,677
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Macey,Gîtes des Archanges,€ 300,48.567409044609,-1.432646693254,"8,5",Très bien,29
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Saint-Georges-de-Gréhaigne,ibis Pontorson Baie Du Mont Saint Michel,€ 255,48.571549,-1.5431270000000001,"7,9",Bien,2 889
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Roz-sur-Couesnon,Vacancéole,€ 200,48.593525091638064,-1.5963703393936157,"7,6",Bien,590
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Saint-Marcan,Chambres d'Hôtes Les Fleurettes en Baie Du Mont Saint Michel,€ 219,48.5943996680422,-1.6234391927719116,"8,8",Superbe,347
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Pontorson,Hotel De France,€ 183,48.55250944944047,-1.506199836730957,"7,5",Bien,734
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Céaux,au petit quinquin,€ 188,48.6270189,-1.3881408,"7,9",Bien,478
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Roz-sur-Couesnon,TY ROZ,€ 271,48.578505251816,-1.581281006746,"9,4",Fabuleux,84
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Roz-sur-Couesnon,Vacancéole,€ 167,48.593575,-1.596291,"7,1",Bien,742
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Courtils,Camping Saint Michel,€ 119,48.62837756379354,-1.4161098003387451,"7,9",Bien,747
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Tanis,2 Gîtes 3 possibilités à 10 mn du Mont Saint Michel,€ 409,48.577458878529,-1.449669474097,"7,9",Bien,39
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Moidrey,Village de Gîtes de l'Anse de Moidrey,€ 221,48.57998825346737,-1.5165307712334197,"7,8",Bien,504
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Céaux,Camping La Baie du Mont Saint Michel,€ 171,48.626681,-1.388192,"9,2",Fabuleux,384
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Courtils,Colibri Studio,€ 157,48.6266613,-1.4098754,"8,4",Très bien,96
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Courtils,Ferme De La Ruette-Chambres d'hôtes,€ 243,48.630855560302734,-1.4331740140914917,"8,4",Très bien,32
mont saint michel,48.6359541,-1.51146,10000,1788426584,20.24,20.49,20.24,20.24,1022,83,1022,1017,4.6,217,6.5,99,1788413148,1788461136,0,804,Clouds,couvert,04d,Dragey-Ronthon,Le clos saint Jean,€ 219,48.7077369,-1.4971728,"9,5",Exceptionnel,120
